"filename", "language", "Properties", "Shell Script", "Kotlin", "YAML", "XML", "Batch", "Markdown", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\.travis.yml", "YAML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\stino\projects\kotlin24\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\stino\projects\kotlin24\build.gradle.kts", "Kotlin", 0, 0, 59, 0, 0, 0, 0, 6, 19, 84
"c:\Users\stino\projects\kotlin24\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\stino\projects\kotlin24\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 68, 0, 0, 22, 90
"c:\Users\stino\projects\kotlin24\settings.gradle.kts", "Kotlin", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\QddtApplication.kt", "Kotlin", 0, 0, 8, 0, 0, 0, 0, 4, 4, 16
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\AuditAwareImpl.kt", "Kotlin", 0, 0, 16, 0, 0, 0, 0, 3, 3, 22
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\CacheControlFilter.kt", "Kotlin", 0, 0, 14, 0, 0, 0, 0, 3, 7, 24
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\PermissionEvaluatorImpl.kt", "Kotlin", 0, 0, 59, 0, 0, 0, 0, 5, 12, 76
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RepositoryRestConfig.kt", "Kotlin", 0, 0, 15, 0, 0, 0, 0, 30, 4, 49
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RestExceptionErrorHandler.kt", "Kotlin", 0, 0, 29, 0, 0, 0, 0, 3, 7, 39
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RevisionEntityImpl.kt", "Kotlin", 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\SecurityConfig.kt", "Kotlin", 0, 0, 77, 0, 0, 0, 0, 74, 11, 162
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\AuthenticationController.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 2, 13, 54
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\OtherMaterialController.kt", "Kotlin", 0, 0, 31, 0, 0, 0, 0, 4, 5, 40
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\SurveyProgramController.kt", "Kotlin", 0, 0, 62, 0, 0, 0, 0, 5, 21, 88
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Agency.kt", "Kotlin", 0, 0, 28, 0, 0, 0, 0, 0, 11, 39
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Author.kt", "Kotlin", 0, 0, 35, 0, 0, 0, 0, 13, 13, 61
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Authority.kt", "Kotlin", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Category.kt", "Kotlin", 0, 0, 207, 0, 0, 0, 0, 47, 26, 280
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Comment.kt", "Kotlin", 0, 0, 34, 0, 0, 0, 0, 12, 10, 56
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Concept.kt", "Kotlin", 0, 0, 103, 0, 0, 0, 0, 32, 32, 167
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ConditionConstruct.kt", "Kotlin", 0, 0, 32, 0, 0, 0, 0, 3, 8, 43
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstruct.kt", "Kotlin", 0, 0, 41, 0, 0, 0, 0, 8, 12, 61
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstructInstruction.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 3, 5, 21
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instruction.kt", "Kotlin", 0, 0, 55, 0, 0, 0, 0, 46, 14, 115
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instrument.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 22, 23, 84
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNode.kt", "Kotlin", 0, 0, 113, 0, 0, 0, 0, 9, 24, 146
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNodeIter.kt", "Kotlin", 0, 0, 48, 0, 0, 0, 0, 4, 8, 60
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\OtherMaterial.kt", "Kotlin", 0, 0, 64, 0, 0, 0, 0, 8, 13, 85
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Publication.kt", "Kotlin", 0, 0, 45, 0, 0, 0, 0, 4, 15, 64
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\PublicationStatus.kt", "Kotlin", 0, 0, 28, 0, 0, 0, 0, 3, 11, 42
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionConstruct.kt", "Kotlin", 0, 0, 101, 0, 0, 0, 0, 17, 27, 145
